aileron,elevator,rudder,flaps,slats,speedbrake,throttle,throttle,engine-pump,engine-pump,electric-pump,electric-pump,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933472,34.65314803,-9999,0,0.424,66.870003,0,0,0,0,0,0,1.193444,12,40,0,0,0,0,0,0,0,246.889999,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933472,34.65314803,-9999,0,0.424,66.870003,0,0,0,0,0,0,1.193444,12,40,0,0,0,0,0,0,0,246.889999,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933406,34.65314724,2131.875,-0.51518,4.008967,66.848923,0,0,0,0,0,0,1.193444,12,40,0,0,0,0,0,0,0,246.889999,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.530739,4.011962,66.847672,-23.196407,2.925263,0.03274,0.000005,0,2140.1875,2141.380859,12,40,0,0,2140.000244,2140,2131.875,0,0.000569,246.889969,5.579837,0.04181,-0.985256,15490.83106,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.533176,4.0113,66.847488,-17.006168,2.654301,-0.086546,-0.000002,0.000012,2111.409424,2112.602783,12,40,0,0,2110.000244,2110,2131.875,0,-0.000067,246.889969,19.865673,0.057189,-1.582221,14352.375,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.534904,4.010739,66.847359,-9.517774,2.420984,-0.111705,-0.000002,0.003835,2082.561768,2083.755371,12,40,0,0,2080.000244,2080,2131.875,0,0,246.889969,38.730206,0.062934,-1.94392,13203.59766,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535063,4.010707,66.847343,-7.568659,2.373187,-0.130902,-0.000007,5.779385,2077.51001,2078.703369,12,40,0,0,2080.000244,2080,2131.875,0,-0.000268,246.889969,43.331669,0.06362,-2.005275,12940.89844,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535144,4.010691,66.847343,-6.709435,2.353566,-0.135997,-0.000009,6.883585,2075.175049,2076.368652,12,40,0,0,2080.000244,2080,2131.875,0,-0.000268,246.889969,45.296726,0.063867,-2.029452,12827.33008,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535241,4.010674,66.847336,-5.835871,2.334484,-0.155146,-0.000012,7.234754,2072.483643,2073.677002,12,40,0,0,2080.000244,2080,2131.875,0,-0.000469,246.889969,47.25209,0.064094,-2.052448,12711.95508,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.53534,4.010658,66.847328,-5.0226,2.317474,-0.127681,-0.00001,7.337883,2069.911865,2071.105225,12,40,0,0,2070.000244,2070,2131.875,0,-0.000469,246.889969,49.032841,0.064233,-2.072539,12605.58106,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535466,4.010639,66.847313,-4.046083,2.297984,-0.12669,-0.000011,7.430369,2066.7771,2067.970703,12,40,0,0,2070.000244,2070,2131.875,0,-0.000402,246.889969,51.119095,0.064493,-2.095123,12479.25879,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76933407,34.65314724,2131.875,-0.535579,4.010624,66.847305,-3.206882,2.282022,-0.143087,-0.000012,7.352668,2064.16748,2065.361084,12,40,0,0,2070.000244,2070,2131.875,0,-0.000536,246.889969,52.865826,0.064612,-2.113298,12372.45215,0
